,Game,index,numOpportunity,Event,Result,Start Pos,End Pos,Team,startX,startY,endX,endY,Side
56,Duke,112,11.0,Pass,Successful,"[59.7142857142857, 9.904761904761912]","[48.47619047619046, 26.47619047619048]",Duke,60.2857142857143,70.09523809523809,71.52380952380955,53.52380952380952,right
57,Duke,114,11.0,Pass,Successful,"[47.52380952380951, 27.04761904761905]","[66.0, 39.80952380952381]",Duke,72.47619047619048,52.95238095238095,54.0,40.19047619047619,right
58,Duke,116,11.0,Pass,Successful,"[71.33333333333331, 48.38095238095238]","[89.61904761904759, 75.23809523809524]",Duke,48.666666666666686,31.61904761904762,30.380952380952408,4.761904761904759,right
59,Duke,118,11.0,Pass,Successful,"[95.7142857142857, 72.57142857142857]","[106.76190476190476, 46.666666666666664]",Duke,24.285714285714306,7.428571428571431,13.23809523809524,33.333333333333336,right
60,Duke,120,11.0,Pass,Successful,"[106.0, 48.19047619047619]","[106.95238095238093, 36.761904761904766]",Duke,14.0,31.80952380952381,13.047619047619065,43.238095238095234,right
61,Duke,122,11.0,Shot(foot),Unsuccessful,"[106.76190476190476, 36.57142857142857]","[118.38095238095238, 42.095238095238095]",Duke,13.23809523809524,43.42857142857143,1.6190476190476204,37.904761904761905,right
62,Duke,124,11.0,Save,Successful,"[118.38095238095238, 41.142857142857146]","[116.66666666666666, 44.57142857142857]",UCSD,1.6190476190476204,38.857142857142854,3.333333333333343,35.42857142857143,right
63,Duke,126,11.0,Shot(foot),Successful,"[115.7142857142857, 44.76190476190476]","[119.9047619047619, 42.476190476190474]",Duke,4.285714285714306,35.23809523809524,0.095238095238102,37.523809523809526,right
64,Duke,128,12.0,Tackle,Successful,"[71.14285714285714, 65.14285714285714]","[-1, -1]",Duke,48.85714285714286,14.857142857142861,121.0,81.0,right
65,Duke,130,12.0,Pass,Successful,"[52.66666666666665, 42.285714285714285]","[72.66666666666666, 39.04761904761905]",Duke,67.33333333333334,37.714285714285715,47.33333333333334,40.95238095238095,right
66,Duke,132,12.0,Pass,Successful,"[77.8095238095238, 40.38095238095238]","[94.38095238095238, 74.66666666666666]",Duke,42.190476190476204,39.61904761904762,25.61904761904762,5.333333333333343,right
67,Duke,134,12.0,Pass,Successful,"[110.57142857142856, 72.19047619047619]","[111.9047619047619, 42.666666666666664]",Duke,9.428571428571445,7.80952380952381,8.095238095238102,37.333333333333336,right
68,Duke,136,12.0,Shot(foot),Unsuccessful,"[112.09523809523807, 43.23809523809524]","[119.14285714285714, 39.42857142857143]",Duke,7.904761904761926,36.76190476190476,0.8571428571428612,40.57142857142857,right
69,Duke,138,13.0,Tackle,Successful,"[85.8095238095238, 23.80952380952381]","[-1, -1]",Duke,34.190476190476204,56.19047619047619,121.0,81.0,right
70,Duke,140,13.0,Pass,Successful,"[84.28571428571428, 22.85714285714286]","[94.38095238095238, 3.80952380952381]",Duke,35.71428571428572,57.14285714285714,25.61904761904762,76.19047619047619,right
71,Duke,142,13.0,Pass,Successful,"[98.76190476190476, 7.428571428571431]","[103.9047619047619, 29.904761904761912]",Duke,21.23809523809524,72.57142857142857,16.095238095238102,50.09523809523809,right
72,Duke,144,13.0,Pass,Successful,"[107.14285714285714, 27.42857142857143]","[113.42857142857142, 38.095238095238095]",Duke,12.857142857142861,52.57142857142857,6.571428571428584,41.904761904761905,right
73,Duke,146,13.0,Shot(foot),Unsuccessful,"[113.42857142857142, 38.285714285714285]","[118.0, 36.952380952380956]",Duke,6.571428571428584,41.714285714285715,2.0,43.047619047619044,right
